,Country,Discipline,NumAthleteswithWCupWins,NumAthleteswithWCupPodiums
1,France,Lead,23,42
2,Japan,Lead,13,25
3,Slovenia,Lead,9,14
4,United States of America,Lead,7,17
5,Italy,Lead,7,11
6,Germany,Lead,7,13
7,Austria,Lead,6,13
8,Switzerland,Lead,5,9
9,Spain,Lead,4,7
10,United Kingdom,Lead,3,6
11,Republic of Korea,Lead,3,5
12,Czechia,Lead,3,5
13,Belgium,Lead,2,3
14,Russia,Lead,2,8
15,Canada,Lead,1,1
16,Netherlands,Lead,1,1
17,Ukraine,Lead,0,5
18,China,Lead,0,3
19,Bulgaria,Lead,0,1
20,Norway,Lead,0,1
21,Poland,Lead,0,1
