,Venue,Total
1,Kranj,25
2,Chamonix,23
3,Briancon,14
4,Imst,13
5,Vail,12
6,Munich,11
7,Puurs,11
8,Wujiang,11
9,Innsbruck,10
10,Val Daone,10
11,Birmingham,9
12,Moscow,8
13,Chongqing,8
14,Vienna,7
15,Yekaterinburg,7
16,Fiera di Primiero,7
17,Salt Lake City,7
18,Villars,7
19,Meiringen,6
20,Valence,6
21,Xining,6
22,Arco,6
23,Prague,5
24,Rovereto,5
25,Nurnberg,4
26,Barcelona,4
27,Zurich,4
28,Lecco,4
29,Aprica,4
30,Grindelwald,4
31,Hall,4
32,Trento,4
33,Xiamen,4
34,Koper,4
35,Bardonecchia,3
36,Tokyo,3
37,Laval,3
38,Courmayeur,3
39,Beauregard,3
40,Edinburgh,3
41,Shanghai,3
42,Marbella,3
43,Brno,3
44,Kazo,3
45,Bern,3
46,Eindhoven,3
47,Log-Dragomer,3
48,Mokpo,3
49,Inzai,3
50,Toronto,3
51,Haiyang,3
52,Seoul,3
53,Keqiao,3
54,Lyon,2
55,Frankfurt,2
56,Aix les Bains,2
57,Milan,2
58,Grenoble,2
59,Millau,2
60,Kuala Lumpur,2
61,Singapore,2
62,Argentiere,2
63,Erlangen,2
64,Veliko Tarnovo,2
65,La Reunion,2
66,Tarnow,2
67,Sheffield,2
68,Baku,2
69,NaviMumbai,2
70,Nanjing,2
71,Brixen,2
72,Jakarta,2
73,Yalta,1
74,Vratsa,1
75,Snowbird,1
76,La Riba,1
77,Leeds,1
78,Madonna di Campiglio,1
79,Berkeley,1
80,Clusone,1
81,Kobe,1
82,St Polten,1
83,Black See,1
84,Toulon,1
85,Villach,1
86,Graz,1
87,Benasque,1
88,Val d'Isere,1
89,Cortina,1
90,Leipzig,1
91,Besancon,1
92,Konitsa,1
93,Nantes,1
94,Gap,1
95,Bolzano,1
96,Shenzhen,1
97,Aviles,1
98,Huzhou,1
99,Firminy,1
100,Dresden,1
101,Penne,1
102,Sofia,1
103,Montauban,1
104,Greifensee,1
105,Chuncheon,1
106,Huaiji,1
107,Canmore,1
108,Changzhi,1
109,Boulder,1
110,Amman,1
111,Atlanta,1
112,Kitzbuhel,1
113,Perm,1
114,Saanich,1
115,Stavanger,1
116,Taian,1
117,Morioka,1
118,Hachioji,1
119,Bali,1
120,Curitiba,1
121,Denver,1
122,Krakow,1
123,Madrid,1
124,Guiyang,1
