Gender,Female,Female,Female,Male,Male,Male
Position,1,2,3,1,2,3
Year,,,,,,
2025,['Erin MCNEICE'],['Chaehyun SEO'],['Laura ROGORA'],['Alberto GINÉS LÓPEZ'],['Sorato ANRAKU'],['Satone YOSHIDA']
2024,['Jessica PILZ'],['Janja GARNBRET'],['Ai MORI'],['Toby ROBERTS'],['Shion OMATA'],['Sorato ANRAKU']
2023,['Jessica PILZ'],['Janja GARNBRET'],['Vita LUKAN'],['Sorato ANRAKU'],['Alexander MEGOS'],['Taisei HOMMA']
2022,['Janja GARNBRET'],['Chaehyun SEO'],['Natalia GROSSMAN'],['Luka POTOCAR'],['Taisei HOMMA'],['Jesse GRUPPER']
2021,['Janja GARNBRET'],['Natalia GROSSMAN'],['Laura ROGORA'],['Stefano GHISOLFI'],['Sean BAILEY'],['Masahiro HIGUCHI']
2019,['Chaehyun SEO'],['Janja GARNBRET'],['Natsuki TANII'],['Adam ONDRA'],['Alberto GINÉS LÓPEZ'],['Sean MCCOLL']
2018,['Janja GARNBRET'],['Jessica PILZ'],['Jain KIM'],['Jakob SCHUBERT'],['Stefano GHISOLFI'],"['Domen SKOFIC', 'Romain DESGRANGES']"
2017,['Janja GARNBRET'],['Jain KIM'],['Anak VERHOEVEN'],['Romain DESGRANGES'],['Stefano GHISOLFI'],['Keiichiro KORENAGA']
2016,['Janja GARNBRET'],['Anak VERHOEVEN'],['Jain KIM'],['Domen SKOFIC'],['Jakob SCHUBERT'],['Romain DESGRANGES']
2015,['Mina MARKOVIC'],['Jain KIM'],['Jessica PILZ'],['Adam ONDRA'],['Gautier SUPPER'],['Jakob SCHUBERT']
2014,['Jain KIM'],['Mina MARKOVIC'],['Magdalena RÖCK'],['Jakob SCHUBERT'],['Sean MCCOLL'],['Adam ONDRA']
2013,['Jain KIM'],['Mina MARKOVIC'],['Momoka ODA'],['Sachi AMMA'],['Jakob SCHUBERT'],['Ramón JULIAN PUIGBLANQUE']
2012,['Mina MARKOVIC'],['Jain KIM'],['Johanna ERNST'],['Sachi AMMA'],['Ramón JULIAN PUIGBLANQUE'],['Jakob SCHUBERT']
2011,['Mina MARKOVIC'],['Jain KIM'],['Maja VIDMAR'],['Jakob SCHUBERT'],['Ramón JULIAN PUIGBLANQUE'],['Sachi AMMA']
2010,['Jain KIM'],['Mina MARKOVIC'],['Angela EITER'],['Ramón JULIAN PUIGBLANQUE'],['Jakob SCHUBERT'],['Adam ONDRA']
2009,['Johanna ERNST'],['Jain KIM'],['Maja VIDMAR'],['Adam ONDRA'],['Patxi USOBIAGA LAKUNZA'],['Sachi AMMA']
2008,['Johanna ERNST'],['Maja VIDMAR'],['Mina MARKOVIC'],['Jorg VERHOEVEN'],['Tomás MRÁZEK'],['Ramón JULIAN PUIGBLANQUE']
2007,['Maja VIDMAR'],['Angela EITER'],['Muriel SARKANY'],['Patxi USOBIAGA LAKUNZA'],['Ramón JULIAN PUIGBLANQUE'],['Tomás MRÁZEK']
2006,['Angela EITER'],['Sandrine LEVET'],['Caroline CIAVALDINI'],['Patxi USOBIAGA LAKUNZA'],['David LAMA'],"['Flavio CRESPI', 'Tomás MRÁZEK']"
2005,['Angela EITER'],['Maja VIDMAR'],['Caroline CIAVALDINI'],['Flavio CRESPI'],['Jorg VERHOEVEN'],['Cédric LACHAT']
2004,['Angela EITER'],['Muriel SARKANY'],"['Alexandra EYER', 'Natalija GROS']",['Tomás MRÁZEK'],['Alexandre CHABOT'],['Flavio CRESPI']
2003,['Muriel SARKANY'],['Sandrine LEVET'],['Angela EITER'],['Alexandre CHABOT'],['Ramón JULIAN PUIGBLANQUE'],['François AUCLAIR']
2002,['Muriel SARKANY'],['Sandrine LEVET'],['Martina CUFAR'],['Alexandre CHABOT'],['Tomás MRÁZEK'],['Gérome POUVREAU']
2001,['Muriel SARKANY'],['Martina CUFAR'],['Sandrine LEVET'],['Alexandre CHABOT'],['Gérome POUVREAU'],['Tomás MRÁZEK']
2000,['Liv SANSOZ'],['Muriel SARKANY'],['Stéphanie BODET'],['Yuji HIRAYAMA'],['Alexandre CHABOT'],['Cristian BRENNA']
1999,['Muriel SARKANY'],['Liv SANSOZ'],['Martina CUFAR'],['François PETIT'],['François LEGRAND'],['Andreas BINDHAMMER']
1998,['Liv SANSOZ'],['Muriel SARKANY'],['Stéphanie BODET'],['Yuji HIRAYAMA'],['Cristian BRENNA'],['Yevgen KRYVOSHEYTSEV']
1997,['Muriel SARKANY'],['Liv SANSOZ'],['Stéphanie BODET'],['François LEGRAND'],['Arnaud PETIT'],['François PETIT']
1996,['Liv SANSOZ'],['Laurence GUYON'],['Stéphanie BODET'],['Arnaud PETIT'],['François PETIT'],['Cristian BRENNA']
1995,['Robyn ERBESFIELD'],['Laurence GUYON'],['Liv SANSOZ'],['François PETIT'],['François LEGRAND'],['Arnaud PETIT']
1994,['Robyn ERBESFIELD'],['Isabelle PATISSIER'],['Natalie RICHER'],['François LOMBARD'],['François LEGRAND'],['Jean-baptiste TRIBOUT']
1993,['Robyn ERBESFIELD'],['Susi GOOD'],['Elena OVTCHINNIKOVA'],['François LEGRAND'],['François PETIT'],['Yuji HIRAYAMA']
1992,['Robyn ERBESFIELD'],['Isabelle PATISSIER'],['Lynn HILL'],['François LEGRAND'],['Luca ZARDINI'],['Jean-baptiste TRIBOUT']
1991,['Isabelle PATISSIER'],['Susi GOOD'],['Robyn ERBESFIELD'],['François LEGRAND'],['François LOMBARD'],['Yuji HIRAYAMA']
1990,"['Lynn HILL', 'Isabelle PATISSIER']",,['Nanette RAYBAUD'],['François LEGRAND'],['Jacky GODOFFE'],['Jim KARN']
1989,['Nanette RAYBAUD'],['Luisa IOVANE'],['Robyn ERBESFIELD'],['Simon NADIN'],['Didier RABOUTOU'],['Jerry MOFFATT']
