,Country,Discipline,Athlete,Gender,Series,FinPosn
1160,USA,Boulder,Natalia GROSSMAN,Female,WC Series Boulder 2023 Senior Female,1
1162,USA,Boulder,Natalia GROSSMAN,Female,WC Series Boulder 2021 Senior Female,1
1163,USA,Boulder,Lisa RANDS,Female,WC Series Boulder 2002 Senior Female,1
968,SLO,Boulder,Janja GARNBRET,Female,WC Series Boulder 2019 Senior Female,1
866,RUS,Boulder,Olga BIBIK,Female,WC Series Boulder 2006 Senior Female,1
241,FRA,Boulder,Juliette DANION,Female,WC Series Boulder 2007 Senior Female,1
242,FRA,Boulder,Sandrine LEVET,Female,WC Series Boulder 2001 Senior Female,1
243,FRA,Boulder,Sandrine LEVET,Female,WC Series Boulder 2000 Senior Female,1
244,FRA,Boulder,Sandrine LEVET,Female,WC Series Boulder 2005 Senior Female,1
245,FRA,Boulder,Sandrine LEVET,Female,WC Series Boulder 2004 Senior Female,1
1161,USA,Boulder,Natalia GROSSMAN,Female,WC Series Boulder 2022 Senior Female,1
246,FRA,Boulder,Sandrine LEVET,Female,WC Series Boulder 2003 Senior Female,1
248,FRA,Boulder,Stéphanie BODET,Female,WC Series Boulder 1999 Senior Female,1
691,JPN,Boulder,Akiyo NOGUCHI,Female,WC Series Boulder 2010 Senior Female,1
690,JPN,Boulder,Akiyo NOGUCHI,Female,WC Series Boulder 2014 Senior Female,1
689,JPN,Boulder,Akiyo NOGUCHI,Female,WC Series Boulder 2015 Senior Female,1
688,JPN,Boulder,Akiyo NOGUCHI,Female,WC Series Boulder 2009 Senior Female,1
687,JPN,Boulder,Miho NONAKA,Female,WC Series Boulder 2018 Senior Female,1
1159,USA,Boulder,Natalia GROSSMAN,Female,WC Series Boulder 2024 Senior Female,1
451,GBR,Boulder,Shauna COXSEY,Female,WC Series Boulder 2016 Senior Female,1
452,GBR,Boulder,Shauna COXSEY,Female,WC Series Boulder 2017 Senior Female,1
247,FRA,Boulder,Myriam MOTTEAU,Female,WC Series Boulder 2002 Senior Female,1
1122,UKR,Boulder,Nataliya PERLOVA,Female,WC Series Boulder 2002 Senior Female,1
240,FRA,Boulder,Oriane BERTONE,Female,WC Series Boulder 2025 Senior Female,1
16,AUT,Boulder,Anna STÖHR,Female,WC Series Boulder 2008 Senior Female,1
17,AUT,Boulder,Anna STÖHR,Female,WC Series Boulder 2012 Senior Female,1
19,AUT,Boulder,Anna STÖHR,Female,WC Series Boulder 2011 Senior Female,1
18,AUT,Boulder,Anna STÖHR,Female,WC Series Boulder 2013 Senior Female,1
1123,UKR,Boulder,Olga SHALAGINA,Female,WC Series Boulder 2007 Senior Female,2
21,AUT,Boulder,Anna STÖHR,Female,WC Series Boulder 2010 Senior Female,2
867,RUS,Boulder,Olga BIBIK,Female,WC Series Boulder 2003 Senior Female,2
868,RUS,Boulder,Olga BIBIK,Female,WC Series Boulder 2005 Senior Female,2
869,RUS,Boulder,Olga BIBIK,Female,WC Series Boulder 2004 Senior Female,2
870,RUS,Boulder,Elena CHOUMILOVA,Female,WC Series Boulder 1999 Senior Female,2
871,RUS,Boulder,Elena CHOUMILOVA,Female,WC Series Boulder 2000 Senior Female,2
20,AUT,Boulder,Anna STÖHR,Female,WC Series Boulder 2009 Senior Female,2
249,FRA,Boulder,Juliette DANION,Female,WC Series Boulder 2006 Senior Female,2
969,SLO,Boulder,Janja GARNBRET,Female,WC Series Boulder 2021 Senior Female,2
970,SLO,Boulder,Janja GARNBRET,Female,WC Series Boulder 2017 Senior Female,2
695,JPN,Boulder,Mao NAKAMURA,Female,WC Series Boulder 2025 Senior Female,2
700,JPN,Boulder,Akiyo NOGUCHI,Female,WC Series Boulder 2011 Senior Female,2
699,JPN,Boulder,Akiyo NOGUCHI,Female,WC Series Boulder 2012 Senior Female,2
698,JPN,Boulder,Akiyo NOGUCHI,Female,WC Series Boulder 2019 Senior Female,2
697,JPN,Boulder,Akiyo NOGUCHI,Female,WC Series Boulder 2018 Senior Female,2
454,GBR,Boulder,Shauna COXSEY,Female,WC Series Boulder 2014 Senior Female,2
453,GBR,Boulder,Shauna COXSEY,Female,WC Series Boulder 2015 Senior Female,2
1,AUS,Boulder,Oceania MACKENZIE,Female,WC Series Boulder 2024 Senior Female,2
125,BEL,Boulder,Chloé GRAFTIAUX,Female,WC Series Boulder 2010 Senior Female,3
22,AUT,Boulder,Anna STÖHR,Female,WC Series Boulder 2006 Senior Female,3
972,SLO,Boulder,Natalija GROS,Female,WC Series Boulder 2009 Senior Female,3
971,SLO,Boulder,Natalija GROS,Female,WC Series Boulder 2007 Senior Female,3
1164,USA,Boulder,Annie SANDERS,Female,WC Series Boulder 2025 Senior Female,3
