,Country,Gold,Silver,Bronze,Total
1,France,182,178,187,547
2,Russia,161,179,169,509
3,Japan,93,119,115,327
4,Austria,115,85,80,280
5,Slovenia,100,78,59,237
6,United States of America,60,60,57,177
7,Ukraine,37,35,48,120
8,Republic of Korea,47,34,36,117
9,Italy,27,44,38,109
10,Czechia,39,39,28,106
11,Spain,36,40,27,103
12,Poland,39,32,30,101
13,China,40,26,34,100
14,United Kingdom,28,23,25,76
15,Indonesia,22,26,28,76
16,Germany,18,26,32,76
17,Belgium,25,30,20,75
18,Switzerland,12,15,27,54
19,Canada,5,15,15,35
20,Netherlands,4,9,16,29
21,Iran (Islamic Republic of),6,2,6,14
22,Venezuela (Bolivarian Republic of),5,2,3,10
23,Hungary,0,3,1,4
24,Australia,1,0,2,3
25,Kazakhstan,0,3,0,3
26,Serbia,0,0,3,3
27,Sweden,0,0,2,2
28,Norway,0,0,2,2
29,"China, Hong Kong Special Administrative Region",1,0,0,1
30,Israel,1,0,0,1
31,Bulgaria,0,0,1,1
32,Finland,0,0,1,1
